imdb_code,title,return_pct,Adult,Talk-Show,News,Sport,Music,War,Biography,History,Musical,Mystery,Romance,Horror,Short,Documentary,Western,Crime,Family,Comedy,Animation,N/A,Thriller,Sci-Fi,Fantasy,Drama,Adventure,Action,Genre_List
tt2974918,Alvin and the Chipmunks: The Road Chip,177.2421733333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0985699,Valkyrie,126.59130444444445,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,"['Drama', 'History', 'Thriller']"
tt2120120,Pixels,171.15756000000005,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,"['Action', 'Comedy', 'Fantasy']"
tt1854564,Percy Jackson: Sea of Monsters,123.17728222222222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,"['Adventure', 'Family', 'Fantasy']"
tt3110958,Now You See Me 2,264.80556333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt1365519,Tomb Raider,203.86389,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1509767,The Three Musketeers,55.41990333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt3829266,The Predator,81.23586704545455,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt1872058,Fast & Furious,322.7621564705882,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,"['Sci-Fi', 'Short']"
tt0451079,Horton Hears a Who,252.32692470588242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1840309,Divergent,224.72348823529407,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Mystery']"
tt0837562,Hotel Transylvania,345.48134352941184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0448115,Shazam!,327.8406270588235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt0461770,Enchanted,300.45193058823526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,"['Animation', 'Comedy', 'Family']"
tt1599348,Safe House,144.56988352941175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,"['Action', 'Thriller']"
tt0496806,Ocean's Thirteen,266.758194117647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,"['Crime', 'Thriller']"
tt1230414,It’s Complicated,164.25264,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"['Comedy', 'Drama', 'Romance']"
tt0471042,Tower Heist,76.96817176470587,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,"['Action', 'Comedy', 'Crime']"
tt1667353,Mirror Mirror,104.25115529411764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,"['Adventure', 'Comedy', 'Drama']"
tt1430607,Arthur Christmas,75.23242823529411,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1293847,xXx: Return of Xander Cage,305.92159882352934,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,"['Action', 'Adventure', 'Thriller']"
tt1287468,Cats & Dogs: The Revenge of Kitty Galore,32.972215294117646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt1485796,The Greatest Showman,417.23006309523805,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"['Biography', 'Drama', 'Musical']"
tt1821694,RED 2,68.4611369047619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt0489099,Jumper,169.8676509090909,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
